title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count
jimmy the hand,Unknown,raymond e feists m stirling,fantasy fiction,jimmy the hand boy thief of krondor lived in the shadows of the city though gifted beyond his peers jimmy is merely a pickpocket with potentialuntil he aids prince arutha in the rescue of princess anita from duke guy du bastyra and runs afoul of black guys secret police facing a choice between disappearing on his own or in a weighted barrel at the bottom of krondors harbor jimmy chooses the former forced to flee the only home hes ever known jimmy finds himself among the unsuspecting rural villagers of lands end where he hopes to prosper with his talents for con and thievery but lands end is home to many who tread the crooked pathand to a dark dangerous presence even the local smugglers dont recognize and suddenly jimmys youthful bravado and courage are leading him into the maw of chaos and quite possibly to his doom,0.4163143726655579,0.04975609672674964,0.08236047364282875,-0.11204041506731116
well of darkness,Unknown,margaret weistracy hickman,unknown,gareth is just a frightened young lad when he is drafted in to be the whippingboy for the unruly prince dagnarus yet as they grow to be men an unshakable bond is formed and it is their destiny for them to become the two most powerful and feared men in the kingdom but when dagnarus decides to become a knight himself he begins a chain of evil events that threaten to destroy the entire kingdom only by uniting the sovereign stone can peace be restored and it is up to dagnarus brother helmos to try to achieve this impossible task using his fathers soldiers against his brothers army all the while gareth is gaining mastery over the sinister void magic and he is devoted to helping his childhood companion this gripping story of magical power and corruption takes the unique viewpoint of focusing on the evil characters as we follow them from boys to men filled with action suspense and wonderfully imaginative characters water from the well of darkness is set to elevate the careers of bestselling authors weis hickman to spectacular new heights,0.22549777758428435,-0.8291198505924977,1.0387176774880538,-0.15220100244184567
witness for the prosecution selected plays,Unknown,agatha christie,english drama,newlyjacketed edition designed to celebrate the 50th anniversary of christie s faultlessly plotted witness for the prosecution and other outstanding plays the perfect complement to the latest edition of the mousetrap and selected plays 50th aniversary edition headlining this book is witness for the prosecution christie s highly successful stage play which won the new york drama critics circle award for best foreign play a stunning courtroom drama it tells the story of a scheming wife testifying against her husband in a shocking murder trial the wild beauty of a seaside house perched high on the devonshire river tern provides a stunning backdrop in towards zero as a psychopathic murderer homes in on the unsuspecting victims passion murder and love are the deadly ingredients in verdict making it one of christie s more unusual thrillers and prompting her to label it the best play i have written with the exception of witness for the prosecution go back for murder tells the story of the young and feisty carla who orphaned at the tender age of five discovers her mother was imprisioned for murdering her father and determines to prove her innocence,-0.3469520076595363,0.35281676821614416,0.01611928203450148,-0.12421757737956796
the little house,Unknown,philippa gregory,country life,it was easy for elizabeth she married the man she loved it was harder for ruth she married elizabeths son and then found that somehow she could never quite measure up this thriller examines what women want and what they fear as ruth confronts the shifting borders of her own sanity,-0.06072711503762598,-0.8291198505924977,0.08236047364282875,-0.13934611655386184
mystical paths,Unknown,susan howatch,english fiction,1968 finds nicholas darrow wrestling with personal problems how can he marry rosalind when he is unable to avoid promiscuity how can he become a priest when he finds it so difficult to live as one and can he break his dangerous dependence on his father,-0.25154371011889953,0.8983259768970581,0.9434959645510833,-0.14524158292765943
glittering images,Unknown,susan howatch,english fiction,it is 1937 and charles ashworth a canon to the archbishop of canterbury is sent to untangle a web of selfdelusion and corruption at the episcopal palace of the charismatic bishop of starbridge,-0.25154371011889953,0.4134289025140247,0.6785311981177742,-0.13779391094493862
glamorous powers,Unknown,susan howatch,clergy,reissue of the authors most famous and wellloved work the starbridge series six selfcontained yet interconnected novels that explore the history of the church of england through the 20th century,-0.25154371011889953,0.8074077754502387,0.6785311981177742,-0.14219547051202608
the mad ship,Unknown,robin hobb,fantasy fiction,fantasy master robin hobb delivers the stunning second volume of her liveship traders trilogy returning to the timeless city of bingtown where pirates now plague the coasts and the dreaded slave trade flourishes althea vestrit doesnt have time to be afraid for her familys newly awakened liveship vivacia has been seized by the ruthless pirate kennit so althea hatches a bold plan but to carry it out she must recruit a liveship that has already slain two crews and is said to be insane,0.13008948004364757,0.928632044045997,2.309720541472833,0.11038409007613692
post captain,Unknown,patrick obrian,aubrey jack fictitious character,this tale begins with jack aubrey arriving home from his exploits in the mediterranean to find england at peace following the treaty of amiens he and his friend stephen maturin surgeon and secret agent begin to live the lives of country gentlemen hunting entertaining and enjoying more amorous adventures their comfortable existence however is cut short when jack is overnight reduced to a pauper with enough debts to keep him in prison for life he flees to the continent to seek refuge instead he finds himself a hunted fugitive as napoleon has ordered the internment of all englishmen in france aubreys adventures in escaping from france and the debtors prison will grip the reader as fast as his unequalled actions at sea,-0.25154371011889953,1.0801623797906943,0.521208368047997,-0.0957458998487557
the reverse of the medal,Unknown,patrick obrian,adventure stories,in this book jack aubrey returns from his duties protecting whalers off the south american coast and is persuaded by a casual acquaintance to make investments in the city on the strength of supposedly certain information from there he is led into the halfworlds of the london criminal underground and of government espionage the province of his friend stephen maturin,-0.15613541257826274,1.4438351855779694,-0.36062749523785986,-0.1514066812616925
miss marple,The Complete Short Stories,agatha christie,detective and mystery stories english,miss marple featured in 20 short stories published in a number of different collections in britain and america presented here in their order of publication miss marple uses her unique insight to deduce the truth about a series of unsolved crimes,-0.15613541257826274,0.8074077754502387,0.04509980336314466,-0.10725991328583873
the years of rice and salt,Unknown,kim stanley robinson,black death,hailed by the new york times book review as eyeopening this alternative history of the last 600 years begins as the black death kills nearly everyone in europe and china india and the nations of islam now control the world,0.4163143726655579,-0.6169773805499212,1.7549505617530923,-0.15128279630698968
spares,Unknown,michael marshall smith,human cloning,spares human clones the ultimate health insurance an eye for an eye but some people are doing all the taking the story of jack randall burntout dropped out and way overdrawn at the luck bank but as caretaker on a spares farm he still has a choice and it might make a difference,-0.06072711503762598,0.5952653054076609,-0.12878332460871442,-0.13461662622432585
gravity,Unknown,tess gerritsen,science fiction,emma watson a research physician has been training for the mission of a lifetime to study living organisms in the microgravity of space but the true and lethal nature of the experiment has not been revealed to nasa and once aboard the space station things start to go wrong a culture of singlecelled archaeons gathered from the deep sea begin to rapidly multiply and infect the crew with deadly and agonising results as her estranged husband and ground crew at nasa work against the clock to launch a rescue emma stuggles to contain the lethal microbe but with the contagion threatening earths population there are those who would leave the astronauts stranded in orbit quarantined aboard the station,0.5117226702061947,0.32251070106720525,-0.025281462720703064,-0.09422284364093902
the wise woman,Unknown,philippa gregory,great britain,alone and vulnerable alys joins a nunnery in an attempt to escape poverty but finds herself thrown back into the outside world when henry viiis wreckers destroy her sanctuary with nothing but her looks her magic and her own instinctive cunning alys has to tread a perilous path between the faith of her childhood and her own female power when she falls in love with hugo the feudal lord and another womans husband she dips into witchcraft to defeat her rival and to win her lover only to find that magic makes a poor servant but a dominant master since heresy against the new church means the stake and witchcraft the rope alyss danger is mortal a womans powers are not longer safe to use,0.32090607512492114,-1.8898322008053825,1.2084607309843924,-0.10472391538956981
girls night in,Unknown,jessica adamschris manbyfiona walker,american fiction,girls night in features stories about growing up growing out of moving out moving on falling apart and getting it all together so turn off your cell phone and curl up on the couch this is one girls night in you wont want to miss,0.13008948004364757,-2.041362536550081,0.9848967093062878,-0.15167631322192798
the white album,Unknown,joan didion,american essays,this collection of essays recounts what took place on the long morning after the 1960s when everyone was coming down from their particular bad trip didion observes the dramas that explode as america goes into collective detox the mother abandoning her fiveyearold daughter on the central reservation of interstate 5 huey newton and the black panthers preaching from their cells students in unconscious parody simulating the disaffection of the 1960s,-0.5377686027408098,0.7164895740034192,-0.5138102508321167,-0.15203339338548308
the bonesetters daughter,Unknown,amy tan,china,tells the story of three generations of chinese women beginning at the turn of the century,0.22549777758428435,0.14067429817356772,0.01611928203450148,-0.14967957924613004
the lexus and the olive tree,Unknown,thomas l friedman,capitalism,half of this new postcold war world is intent on building a better lexus on streamlining their societies and economies for the global marketplace while the other half is locked in elemental struggles over who owns which olive tree which strip of land,0.13008948004364757,-1.0412623206350755,0.01611928203450148,-0.15206254278658962
tis,A Memoir,frank mccourt,ireland,from the pulizer prizewinning author of the 1 new york times bestseller angelas ashes frank mccourts glorious childhood memoir angelas ashes has been loved and celebrated by readers everywhere it won the national book critics circle award the los angeles times book award and the pulitzer prize rarely has a book so swiftly found its place on the literary landscape and now we have tis the story of franks american journey from impoverished immigrant to brilliant teacher and raconteur frank lands in new york at age nineteen and gets a job at the biltmore hotel where he immediately encounters the vivid hierarchies of this classless country and then is drafted into the army and is sent to germany to train dogs and type reports it is franks incomparable voice that renders these experiences spellbinding when frank returns to america in 1953 he works on the docks always resisting what everyone tells him he knows that he should be getting an education and though he left school at fourteen he talks his way into new york university there he falls in love with the quintessential yankee and tries to live his dream but it is not until he starts to teach that frank finds his place in the world,0.13008948004364757,-0.7685077162946186,0.6081499320339264,0.16925130561079302
